Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
0	0.062937	0.062937	0	0.062937	0	0.062937	0.062937	0.062937	0	0.062937
0	0.0569	0.0569	0	0.0569	0	0.0569	0.0569	0.0569	0	0.0569
0	0.051488	0.051488	0	0.051488	0	0.051488	0.051488	0.051488	0	0.051488
0	0.046267	0.046267	0	0.046267	0	0.046267	0.046267	0.046267	0	0.046267
0	0.041637	0.041637	0	0.041637	0	0.041637	0.041637	0.041637	0	0.041637
0	0.037784	0.037784	0	0.037784	0	0.037784	0.037784	0.037784	0	0.037784
0	0.034309	0.034309	0	0.034309	0	0.034309	0.034309	0.034309	0	0.034309
0	0.031172	0.031172	0	0.031172	0	0.031172	0.031172	0.031172	0	0.031172
0	0.028158	0.028158	0	0.028158	0	0.028158	0.028158	0.028158	0	0.028158
0	0.02546	0.02546	0	0.02546	0	0.02546	0.02546	0.02546	0	0.02546
0	0.022654	0.022654	0	0.022654	0	0.022654	0.022654	0.022654	0	0.022654
0	0.019904	0.019904	0	0.019904	0	0.019904	0.019904	0.019904	0	0.019904
0	0.017817	0.017817	0	0.017817	0	0.017817	0.017817	0.017817	0	0.017817
0	0.015771	0.015771	0	0.015771	0	0.015771	0.015771	0.015771	0	0.015771
0	0.014008	0.014008	0	0.014008	0	0.014008	0.014008	0.014008	0	0.014008
0	0.01365	0.01365	0	0.01365	0	0.01365	0.01365	0.01365	0	0.01365
0	0.013175	0.013175	0	0.013175	0	0.013175	0.013175	0.013175	0	0.013175
0	0.012832	0.012832	0	0.012832	0	0.012832	0.012832	0.012832	0	0.012832
0	0.012475	0.012475	0	0.012475	0	0.012475	0.012475	0.012475	0	0.012475
0	0.012073	0.012073	0	0.012073	0	0.012073	0.012073	0.012073	0	0.012073
0	0.01184	0.01184	0	0.01184	0	0.01184	0.01184	0.01184	0	0.01184
0	0.011494	0.011494	0	0.011494	0	0.011494	0.011494	0.011494	0	0.011494
0	0.011292	0.011292	0	0.011292	0	0.011292	0.011292	0.011292	0	0.011292
0	0.01099	0.01099	0	0.01099	0	0.01099	0.01099	0.01099	0	0.01099
0	0.010761	0.010761	0	0.010761	0	0.010761	0.010761	0.010761	0	0.010761
0	0.010546	0.010546	0	0.010546	0	0.010546	0.010546	0.010546	0	0.010546
0	0.010321	0.010321	0	0.010321	0	0.010321	0.010321	0.010321	0	0.010321
